Clock,Radar / Distance (m),width (m),ReflectionIntensity,Velocity
1,61.2,735,0.050715,119.56
2,60.8,0.63,0.03803625,119.92
3,60.5,0.42,0.050715,120.64
4,60.4,0.63,0.06339375,119.92
5,60.1,0.63,0.0760725,119.56
6,59.7,525,0.0760725,119.56
7,59.3,0.63,0.08875125,119.56
8,58.9,0.63,0.08875125,119.92
9,58.6,735,0.10143,119.92
10,58.3,67,0.10143,120.28
11,58.1,0.63,0.10143,119.56
12,57.7,0.67,0.08875125,119.92
13,57.4,0.74,0.10143,120.64
14,57.3,0.78,0.11410875,119.92
15,57,1.2,0.10143,119.56
16,56.6,0.7,0.11410875,119.56
17,56.2,0.64,0.1267875,120.28
18,56,0.74,0.1267875,120
19,75,2.52,432,81.36
20,75.1,2.4,0.4032,81.36
21,75.2,2.52,0.36,81
22,75.2,2.4,432,81.36
23,75.3,2.64,504,80.64
24,75.2,2.4,0.36,80.28
25,75,2.28,0.72,80.64
26,74.9,2.52,0.3168,80.64
27,74.8,2.4,0.4032,80.64
28,74.7,2.5,0.42,81
29,60,1.1,72,90.5
30,58,1.2,69,82.8
31,56,1.21,73,82.8
32,54,1.02,75,82.8
33,53,1.05,0.08,86.4
34,53,1.12,85,90
35,52,1.1,0.08,90.5
36,51,1.05,81,86.4
37,52,1.12,73,93.6
38,52.5,0.99,69,91.8
39,55,1.05,52,99
40,64,1.12,48,122.4
41,78,1.18,62,140.4
42,91,1.03,49,136.8
43,105,1.1,45,140.4
44,118,1.08,41,136.8
45,128,1.02,29,126
46,136,1.11,32,118.8
47,145,1.01,23,122.4
48,155,1.02,0.02,126
49,40,0.86,0.09,122.08
50,40.3,0.92,87,121.72
51,40.5,0.85,84,126.4
52,42,0.88,0.06339375,128.92
53,44.2,0.77,0.0760725,129.28
54,46.5,0.85,65,122.8
55,47,0.76,71,122.08
56,47.3,0.81,75,121.72
57,47.5,0.73,0.07,119.2
58,47,0.78,0.08,125.32
59,48.2,0.82,81,126.4
60,49.7,0.87,64,126.4
61,51.2,0.69,62,127.48
62,53,0.72,0.07,126.76
63,54.6,0.79,64,126.76
64,56.2,0.81,58,127.48
65,58,0.75,52,128.56
66,60.1,0.74,49,130
67,70,0.6,25,27.6
68,61,0.74,0.03,31.2
69,53,0.63,35,31.2
70,45,0.79,38,30.8
71,38,0.84,34,30.4
72,32,0.65,41,30.2
73,26.5,0.81,45,30.8
74,22,0.49,0.04,30.6
75,18,0.87,46,31
76,15.5,0.9,51,31.6
77,14,0.59,55,31.4
78,13,0.66,0.05,31.4
79,12,0.7,61,31.4
80,11,0.75,62,31.2
81,10.5,0.74,0.07,30.2
82,10,0.76,59,31.8
83,10.5,0.77,69,31.8
84,11,0.75,67,31.5
85,75,2,0.63,73.2
86,74.5,2.1,0.67,73.2
87,74,2.2,0.69,72.48
88,73.3,2.1,0.77,72.84
89,72.7,2,0.72,72.48
90,72,2.15,0.8,72.84
91,71.4,2.06,0.83,69.24
92,69.8,2.1,0.9,72.84
93,69.2,2.05,0.88,72.48
94,68.5,2,0.97,72.12
95,67.7,2.1,0.94,72.48
96,67,2.05,1.05,73
